WKU,Title,App_Date,Issue_Date,Inventor,Assignee,ICL_Class,References,Claims
D0872102,Display device with graphical user interface having a determinate progress indicator animation,20170816,20200107,Xiaonan Wang;Eric Knudtson;Nathan Bailey;Bobby Bray;Meghan Cartlidge;Heather Daggett;Michael Dulin;Dawn Ressel,Intuit Inc.,1404,D752072;D761277;D763309;D764493;D777735;D785658;D788122;D795885;D799503;D821443;D822680;D823859;D832886,"The ornamental design for a display device with graphical user interface having a determinate progress indicator animation, as shown and described."
D0872103,Display screen or portion thereof with graphical user interface,20180130,20200107,John Doyle;Jiawei Marvin Sum;Arseny Bogomolov;Eric Anderson;Eric Raboin;Glenna Yu;Lucas Ray,"PALANTIR TECHNOLOGIES, INC.",1404,D425497;7114128;D550689;D599363;D604307;D607001;D613299;D614194;D614637;D619613;D625322;D643044;7992093;D656153;D659706;D665397;D665398;D665399;D665400;D667840;D670725;D673971;D675220;D675639;D678306;D681048;D681049;D689875;D690713;D691155;D691626;D695305;D696682;D696683;D696690;D697524;D699253;D700195;D701231;D705244;D706788;D708626;D710371;D710867;D710874;8805830;D722070;D724611;D724612;D726214;D728593;D729264;D732052;D732057;D732572;D733745;D734350;D734351;D734767;D735233;D735745;D736805;D736814;D737307;D738888;D739416;D740312;D741359;D741883;D742909;D743443;D743990;D743993;D744498;D744507;D745033;D745535;D746318;D746319;D746848;D746850;D747326;D747350;D759687;D760782;D761817;D765110;D768183;D768716;D769288;D769294;D771065;D771066;D776148;D777178;D783650;D785650;D787538;D791150;D791151;D791173;D791825;D797133;D799537;D800157;D806101;D809546;D810101;D816685;D816710;D824924;D831038;D836120;D837240;D839883;D841024;D841047;D842871;D843386;D843403;D844020;D845313;D845316;D847197;D849770;2005/0050301;2009/0327853;2010/0095240;2011/0252376;2011/0288868;2011/0314401;2012/0233571;2012/0284297;2013/0254714;2014/0049494;2016/0072841,"The ornamental design for a display screen or portion thereof with graphical user interface, as shown and described."
D0872104,Digital camera display screen with transitional graphical user interface,20180314,20200107,Nanae Sakuma,FUJIFILM Corporation,1404,D575793;D593116;D685817;D692444;D722069;D735741;D740841;D745022;D745549;D748124;D748129;D748667;D752088;D752607;D754709;D755204;D755800;D755805;D755806;D757067;D760767;D762711;D763879;D765717;D768661;D771688;D772253;D773495;D774515;D789946;D792420;D794663;D795272;D796539;D800762;D801984;D804495;D804519;D805100;D808975;D813263;D813885;D815126;D815130;D823883;D829759;D830378;D830390;D830395;D833480;D837230;D846586;D847177,"The ornamental design for digital camera display screen with transitional graphical user interface, as shown and described."
D0872105,Digital camera display screen with graphical user interface,20180314,20200107,Takeharu Omata,FUJIFILM Corporation,1404,D593110;D601164;D625322;D625735;D683355;D691160;D694252;D694764;D695307;D704212;D708219;D746864;D747325;D751575;D754707;D755819;D755828;D755842;D761317;D761863;D762233;D765122;D770485;D771639;D774061;D781910;D783669;D791824;D792434;D794663;D800762;D803243;D803249;D821429;D830387;D830388;D833475;D834047;D841663;D842868;D842874;2015/0339307;2018/0073744;2018/0217848,"The ornamental design for digital camera display screen with graphical user interface, as shown and described."
D0872106,Digital camera display screen with graphical user interface,20180314,20200107,Nanae Sakuma,FUJIFILM Corporation,1404,8303321;D733747;D737836;D741886;D743983;D754681;D755800;D766949;D768660;D774536;D786907;D788160;D794656;D794663;D796539;D797765;D797804;D801355;D804499;D806131;D820292;D820869;D823338;D823340;D823884;D823893;D824401;D824406;D826977;D847179;D849034;2007/0164120;2010/0205373;2013/0286603;2017/0214423;2018/0349752,"The ornamental design for digital camera display screen with graphical user interface, as shown and described."
D0872107,Display screen or portion thereof with graphical user interface,20180507,20200107,Ezhil Nanjappan,OTIS ELEVATOR COMPANY,1404,D403313;D664557;D732572;D749112;D757789;D759674;D760761;9467745;D778284;D825604;D834605;D839298;D843402;D845973;D846577;D847165;D847178;D853414;D858548;2012/0144325;2012/0162265;2015/0301698;2018/0004825;2018/0315301;2019/0073402;2019/0089193,"The ornamental design for a display screen or portion thereof with graphical user interface, as shown and described."
D0872108,Display screen with transitional graphical user interface,20180531,20200107,Yiqi Wang;Zhaoyu Zhong;Zheng Huang;Jianwen Cen;Yan Zhan,"SHENZHEN ROYOLE TECHNOLOGIES CO., LTD.",1404,D690728;D721090;D730917;D755831;D757816;D761840;D768143;D803247;D809554;2010/0325629;2014/0047389;2014/0092100;2016/0378318,"The ornamental design for a display screen with transitional graphical user interface, as shown and described."
D0872109,Display screen or portion thereof with graphical user interface,20180807,20200107,Keith Folken;Mitchell B. Howard;Mukund Jaganmohan;David Ochoa;Bhaskara Rao Polisetty,Caterpillar Inc.,1404,4442424;5309139;D593116;D625320;D697521;D706283;D708632;D725137;D729827;D746837;D752083;D765092;D766272;D782511;D784367;D803857;D806115;9858731;D847179;2014/0053092;2014/0189585;2014/0298259;2016/0125666;2016/0224227;2016/0266772;2017/0248946;2018/0047347,"The ornamental design for a display screen or portion thereof with graphical user interface, as shown and described."
D0872110,Display panel with a transitional graphical user interface,20190114,20200107,Robin Maxime Clediere;Jeremy Samuel Friedland,"Facebook, Inc.",1404,D590412;D662507;D718779;D720765;D725666;D753157;D753703;D763279;D763882;D765110;D766270;D769273;D770515;D771065;D772925;D776147;D777745;D778944;D780781;D780785;D783649;D783650;D785649;D789947;D789949;D792420;D793424;D794061;D797133;D803238;D804493;D804499;D805549;D806101;D810101;D810113;D810116;D810772;D812098;D812640;D814520;D815148;D816096;D816689;D816715;D819068;D819647;D820850;D820878;D821430;D822034;D824405;D824924;D824930;D826968;D829219;D830375;D830401;D831032;D831671;D834605;D834612;D835138;D835663;D838732;D839283;D841024;D841044;D841047;2005/0050301;2009/0327853;2015/0222584,"We claim the ornamental design for a display panel with a transitional graphical user interface, as shown and described."
D0872111,Display screen or portion thereof with set of graphical user interfaces,20190128,20200107,Brent Protzman;Michelle L. Greene;Erica L. Clymer;Jennifer Wong;Stephen Lundy;Samuel F. Chambers,Lutron Technology Company LLC,1404,D297243;D393457;D415483;D553138;D557699;D563973;D566127;D580947;D587725;D607467;D614634;D639819;D660310;D665403;D703690;D707245;8812947;D722320;D735230;D743993;D748117;D753155;D757070;D759032;D760261;D761292;D767592;D767614;D770498;D771072;D771102;D777199;D779537;D782526;D783040;D786905;D794060;D800759;D814501;D826952;D829754;D843388;D843390;D847192;D847852;D849792;D850474;D850476;D852213;D853414;D853429;D855067;2009/0187859;2010/0273610;2012/0158531;2013/0232437;2014/0157204;2015/0006265;2015/0286941;2015/0341212;2017/0019487;2018/0165722,"The ornamental design for a display screen or portion thereof with set of graphical user interfaces, as shown and described."
